timestamp_start,timestamp_end,provider,model,requests,total_cost,currency,source_event_id,workload,input_tokens,cached_input_tokens,output_tokens,successes,failures,latency_p50_ms,latency_p95_ms,granularity,configuration_id,operation_id,attempt_number,retry_count,stable_prefix_hash,stable_prefix_tokens,cache_eligible_input_tokens
2026-08-15T00:00:00Z,2026-08-16T00:00:00Z,openai,model-a,1000,82.00,USD,cls-00,classification,820000,210000,95000,980,20,620,910,AGGREGATE_BUCKET,model-a,cls-op-00,1,0,hash-cls-0,180000,700000
2026-08-15T00:00:00Z,2026-08-16T00:00:00Z,anthropic,model-x,520,41.00,USD,ext-00,extraction,624000,166400,67600,512,8,740,1040,AGGREGATE_BUCKET,model-x,ext-op-00,1,0,hash-ext-0,130000,468000
2026-08-16T00:00:00Z,2026-08-17T00:00:00Z,openai,model-a,1007,82.37,USD,cls-01,classification,825740,211470,95665,986,21,623,915,AGGREGATE_BUCKET,model-a,cls-op-01,1,1,hash-cls-1,181260,704900
2026-08-16T00:00:00Z,2026-08-17T00:00:00Z,anthropic,model-x,525,41.21,USD,ext-01,extraction,630000,168000,68250,516,9,744,1046,AGGREGATE_BUCKET,model-x,ext-op-01,1,0,hash-ext-1,131250,472500
2026-08-17T00:00:00Z,2026-08-18T00:00:00Z,openai,model-a,1014,82.74,USD,cls-02,classification,831480,212940,96330,992,22,626,920,AGGREGATE_BUCKET,model-a,cls-op-02,1,0,hash-cls-2,182520,709800
2026-08-17T00:00:00Z,2026-08-18T00:00:00Z,anthropic,model-x,530,41.42,USD,ext-02,extraction,636000,169600,68900,522,8,748,1052,AGGREGATE_BUCKET,model-x,ext-op-02,1,0,hash-ext-2,132500,477000
2026-08-18T00:00:00Z,2026-08-19T00:00:00Z,openai,model-a,1021,83.11,USD,cls-03,classification,837220,214410,96995,1001,20,629,925,AGGREGATE_BUCKET,model-a,cls-op-03,1,1,hash-cls-3,183780,714700
2026-08-18T00:00:00Z,2026-08-19T00:00:00Z,anthropic,model-x,535,41.63,USD,ext-03,extraction,642000,171200,69550,526,9,752,1058,AGGREGATE_BUCKET,model-x,ext-op-03,1,0,hash-ext-0,133750,481500
2026-08-19T00:00:00Z,2026-08-20T00:00:00Z,openai,model-a,1028,83.48,USD,cls-04,classification,842960,215880,97660,1007,21,632,930,AGGREGATE_BUCKET,model-a,cls-op-04,1,0,hash-cls-0,185040,719600
2026-08-19T00:00:00Z,2026-08-20T00:00:00Z,anthropic,model-x,540,41.84,USD,ext-04,extraction,648000,172800,70200,532,8,756,1064,AGGREGATE_BUCKET,model-x,ext-op-04,1,0,hash-ext-1,135000,486000
2026-08-20T00:00:00Z,2026-08-21T00:00:00Z,openai,model-a,1035,83.85,USD,cls-05,classification,848700,217350,98325,1013,22,635,935,AGGREGATE_BUCKET,model-a,cls-op-05,1,1,hash-cls-1,186300,724500
2026-08-20T00:00:00Z,2026-08-21T00:00:00Z,anthropic,model-x,545,42.05,USD,ext-05,extraction,654000,174400,70850,536,9,760,1070,AGGREGATE_BUCKET,model-x,ext-op-05,1,0,hash-ext-2,136250,490500
2026-08-21T00:00:00Z,2026-08-22T00:00:00Z,openai,model-a,1042,84.22,USD,cls-06,classification,854440,218820,98990,1022,20,638,940,AGGREGATE_BUCKET,model-a,cls-op-06,1,0,hash-cls-2,187560,729400
2026-08-21T00:00:00Z,2026-08-22T00:00:00Z,anthropic,model-x,550,42.26,USD,ext-06,extraction,660000,176000,71500,542,8,764,1076,AGGREGATE_BUCKET,model-x,ext-op-06,1,0,hash-ext-0,137500,495000
2026-08-22T00:00:00Z,2026-08-23T00:00:00Z,openai,model-a,1049,84.59,USD,cls-07,classification,860180,220290,99655,1028,21,641,945,AGGREGATE_BUCKET,model-a,cls-op-07,1,1,hash-cls-3,188820,734300
2026-08-22T00:00:00Z,2026-08-23T00:00:00Z,anthropic,model-x,555,42.47,USD,ext-07,extraction,666000,177600,72150,546,9,768,1082,AGGREGATE_BUCKET,model-x,ext-op-07,1,0,hash-ext-1,138750,499500
2026-08-23T00:00:00Z,2026-08-24T00:00:00Z,openai,model-a,1056,84.96,USD,cls-08,classification,865920,221760,100320,1034,22,644,950,AGGREGATE_BUCKET,model-a,cls-op-08,1,0,hash-cls-0,190080,739200
2026-08-23T00:00:00Z,2026-08-24T00:00:00Z,anthropic,model-x,560,42.68,USD,ext-08,extraction,672000,179200,72800,552,8,772,1088,AGGREGATE_BUCKET,model-x,ext-op-08,1,0,hash-ext-2,140000,504000
2026-08-24T00:00:00Z,2026-08-25T00:00:00Z,openai,model-a,1063,85.33,USD,cls-09,classification,871660,223230,100985,1043,20,647,955,AGGREGATE_BUCKET,model-a,cls-op-09,1,1,hash-cls-1,191340,744100
2026-08-24T00:00:00Z,2026-08-25T00:00:00Z,anthropic,model-x,565,42.89,USD,ext-09,extraction,678000,180800,73450,556,9,776,1094,AGGREGATE_BUCKET,model-x,ext-op-09,1,0,hash-ext-0,141250,508500
