timestamp,task,model,prompt_tokens,completion_tokens,cached_prompt_tokens,usd,latency_ms,ok,error
2026-08-07 01:22:27,short_answer,claude-opus-4-8,31,145,0,0.003024,15000,1,
2026-08-07 01:22:50,short_answer,claude-fable-5,27,78,0,0.003336,23456,1,
2026-08-07 01:22:57,summarize,deepseek-v4-flash,178,305,0,0.000279,6482,1,
2026-08-07 01:23:08,summarize,Kimi-K3,177,295,0,0.003965,8859,1,
2026-08-07 01:23:19,summarize,GLM5.2,182,400,0,0.001612,8360,1,
2026-08-07 01:23:25,summarize,deepseek-v4-flash,178,401,0,0.000347,5850,1,
2026-08-07 01:23:59,summarize,gemini-3.5-flash,4557,114,3840,0.006289,4767,1,
2026-08-07 01:24:58,summarize,claude-sonnet-5,272,216,0,0.002224,84775,1,
2026-08-07 01:25:13,summarize,gpt-5.5,4557,130,3840,0.021348,14702,1,
2026-08-07 01:26:13,summarize,claude-opus-4-8,250,200,0,0.005,60406,1,
2026-08-07 01:26:32,summarize,claude-opus-4-8,250,232,165,0.00564,49379,1,
2026-08-07 01:27:47,structured_json,deepseek-v4-flash,55,69,0,0.000068,3245,1,
2026-08-07 01:27:56,structured_json,Kimi-K3,57,79,0,0.001085,4572,1,
2026-08-07 01:28:03,structured_json,GLM5.2,62,243,0,0.000925,7142,1,
2026-08-07 01:28:16,structured_json,gemini-3.5-flash,4436,20,3840,0.005467,5735,1,
2026-08-07 01:28:33,structured_json,claude-sonnet-5,93,30,0,0.000397,17027,1,
2026-08-07 01:29:01,structured_json,gpt-5.5,4436,32,3840,0.018512,26431,1,
2026-08-07 01:29:31,structured_json,claude-opus-4-8,101,30,0,0.001004,29835,1,
2026-08-07 18:20:06,baseline,deepseek-v4-flash,5,120,0,0.000087,5838,1,
2026-08-07 18:20:14,baseline,Kimi-K3,8,5,0,0.000079,2380,1,
2026-08-07 18:20:19,baseline,GLM5.2,13,6,0,0.000036,4132,1,
2026-08-07 18:20:34,baseline,gemini-3.5-flash,2,9,0,0.000067,7745,1,
2026-08-07 18:20:43,baseline,claude-sonnet-5,1,8,0,0.000068,8462,1,
2026-08-07 18:21:27,baseline,gpt-5.5,13143,14,12032,0.052908,43501,1,
